idx,ppq,per_block_sample,per_block_exact_offset
222,2.321875,51197,125.3437499999993
223,2.3322916666666664,51427,99.0312499999908
224,2.3427083333333334,51657,328.7187499999973
225,2.353125,51886,46.40624999999336
226,2.3635416666666664,52116,84.09374999999106
227,2.3739583333333334,52346,57.78125000000214
228,2.375,52369,80.75000000000084
229,2.3854166666666665,52598,310.43749999999756
230,2.3958333333333335,52828,28.125000000003396
231,2.40625,53058,65.8125000000011
232,2.4166666666666665,53287,39.49999999999258
233,2.4270833333333335,53517,269.1874999999991
234,2.446875,53954,1.593749999994154
235,2.4572916666666664,54183,231.28124999999088
236,2.4677083333333334,54413,204.96875000000196
237,2.478125,54643,434.6562499999987
238,2.4885416666666664,54872,88.34374999999832
239,2.4989583333333334,55102,190.03125000000222
240,2.5,55125,213.0000000000009
241,2.5104166666666665,55355,186.6874999999924
242,2.5208333333333335,55584,416.3749999999989
243,2.53125,55814,70.06249999999856
244,2.5416666666666665,56044,171.74999999999267
245,2.5520833333333335,56273,145.43750000000375
246,2.571875,56710,5.843750000001413
247,2.5822916666666664,56940,107.53124999999552
248,2.5927083333333334,57169,81.2187499999968
249,2.603125,57399,310.9062499999935
250,2.6135416666666664,57629,28.593749999999375
251,2.6239583333333334,57858,66.28124999999707
252,2.625,57881,89.24999999999577
253,2.6354166666666665,58111,62.93749999999705
254,2.6458333333333335,58341,292.6250000000036
255,2.65625,58570,10.312499999999613
256,2.6666666666666665,58800,47.999999999997314
257,2.6770833333333335,59030,21.687499999998593
258,2.696875,59466,458.09374999999335
259,2.7072916666666664,59696,111.781249999993
260,2.7177083333333334,59925,213.4687499999969
261,2.728125,60155,187.15624999999818
262,2.7385416666666664,60385,416.84374999999494
263,2.7489583333333334,60615,70.53125000000433
264,2.75,60638,93.50000000000303
265,2.7604166666666665,60867,195.18749999999713
266,2.7708333333333335,61097,168.8749999999984
267,2.78125,61327,398.56249999999517
268,2.7916666666666665,61556,52.24999999999478
269,2.8020833333333335,61786,153.9374999999987
270,2.821875,62222,334.343749999998
271,2.8322916666666664,62452,52.031249999994046
272,2.8427083333333334,62682,89.71875000000153
273,2.853125,62911,63.406250000002814
274,2.8635416666666664,63141,293.09374999999955
275,2.8739583333333334,63371,10.781250000005382
276,2.875,63394,33.75000000000408
277,2.8854166666666665,63623,71.43749999999199
278,2.8958333333333335,63853,45.125000000003055
279,2.90625,64083,274.8124999999998
280,2.9166666666666665,64312,504.49999999999653
281,2.9270833333333335,64542,30.18750000000332
282,2.946875,64979,210.59375000000264
283,2.9572916666666664,65208,440.2812499999994
284,2.9677083333333334,65438,93.968749999999
285,2.978125,65668,195.6562500000029
286,2.9885416666666664,65897,169.3437499999944
287,2.9989583333333334,66127,399.0312500000009
288,3.0,66150,421.9999999999996
289,3.0104166666666665,66380,75.68749999999925
290,3.0208333333333335,66609,177.37500000000315
291,3.03125,66839,151.06250000000443
292,3.0416666666666665,67069,380.75000000000114
293,3.0520833333333335,67298,34.43750000000079
294,3.071875,67735,86.84374999999748
295,3.0822916666666664,67965,316.5312499999942
296,3.0927083333333334,68194,34.21875000000006
297,3.103125,68424,71.90624999999775
298,3.1135416666666664,68654,45.593749999999034
299,3.1239583333333334,68883,275.28125000000557
300,3.125,68906,298.25000000000426
301,3.1354166666666665,69136,15.937500000000293
302,3.1458333333333335,69366,53.62500000000778
303,3.15625,69595,27.312499999999275
304,3.1666666666666665,69825,256.999999999996
305,3.1770833333333335,70055,486.68750000000256
306,3.196875,70491,219.09374999999758
307,3.2072916666666664,70721,192.78124999999886
308,3.2177083333333334,70950,422.4687500000054
309,3.228125,71180,76.15624999999523
310,3.2385416666666664,71410,177.84374999999912
311,3.2489583333333334,71640,151.5312500000004
312,3.25,71662,174.4999999999991
313,3.2604166666666665,71892,404.18749999999585
314,3.2708333333333335,72122,57.87500000000525
315,3.28125,72352,159.56249999999937
316,3.2916666666666665,72581,133.25000000000065
317,3.3020833333333335,72811,362.93750000000716
318,3.321875,73247,95.34375000000222
319,3.3322916666666664,73477,69.0312499999937
320,3.3427083333333334,73707,298.7187500000002
321,3.353125,73936,16.40624999999627
322,3.3635416666666664,74166,54.09374999999397
323,3.3739583333333334,74396,27.78125000000504
324,3.375,74419,50.75000000000374
325,3.3854166666666665,74648,280.43750000000045
326,3.3958333333333335,74878,510.125000000007
327,3.40625,75108,35.812500000004
328,3.4166666666666665,75337,9.49999999999549
329,3.4270833333333335,75567,239.18750000000202
330,3.446875,76004,99.59374999999969
331,3.4572916666666664,76233,201.2812499999938
332,3.4677083333333334,76463,174.96875000000486
333,3.478125,76693,404.6562500000016
334,3.4885416666666664,76922,58.34374999999143
335,3.4989583333333334,77152,160.03125000000514
336,3.5,77175,183.00000000000384
337,3.5104166666666665,77405,156.6874999999953
338,3.5208333333333335,77634,386.3750000000018
339,3.53125,77864,40.062500000001464
340,3.5416666666666665,78094,141.74999999999557
341,3.5520833333333335,78323,115.43750000000665
342,3.571875,78760,39.84375000000073
343,3.5822916666666664,78990,77.53124999999844
344,3.5927083333333334,79219,51.218749999999716
345,3.603125,79449,280.9062499999965
346,3.6135416666666664,79679,510.5937499999932
347,3.6239583333333334,79908,36.28124999999998
348,3.625,79931,59.24999999999867
349,3.6354166666666665,80161,32.93749999999995
350,3.6458333333333335,80391,262.6250000000065
351,3.65625,80620,492.31250000000324
352,3.6666666666666665,80850,18.000000000000217
353,3.6770833333333335,81080,247.68750000000674
354,3.696875,81516,428.09374999999625
