idx,ppq,accum_sample,exact_sample,frac_in,frac_out
179,1.8739583333333332,41320,41320.78125,-0.468750000046839,0.312499999953161
180,1.875,41344,41343.75,0.312499999953161,0.06249999995316102
181,1.8854166666666667,41573,41573.4375,0.06249999995316102,0.499999999953161
182,1.8958333333333333,41804,41803.125,0.499999999953161,-0.375000000046839
183,1.90625,42032,42032.8125,-0.375000000046839,0.437499999953161
184,1.9166666666666667,42263,42262.5,0.437499999953161,-0.06250000004683898
185,1.9270833333333333,42492,42492.1875,-0.06250000004683898,0.12499999995316102
186,1.946875,42929,42928.59375,0.12499999995316102,-0.281250000046839
187,1.9572916666666667,43158,43158.28125,-0.281250000046839,-4.6838977141305804e-11
188,1.9677083333333332,43388,43387.96875,-4.6838977141305804e-11,-0.03125000004683898
189,1.978125,43618,43617.65625,-0.03125000004683898,-0.375000000046839
190,1.9885416666666667,43847,43847.34375,-0.375000000046839,-0.03125000004683898
191,1.9989583333333332,44077,44077.03125,-0.03125000004683898,-4.6838977141305804e-11
192,2.0,44100,44100.0,-4.6838977141305804e-11,-4.6838977141305804e-11
193,2.0104166666666665,44330,44329.6875,-4.6838977141305804e-11,-0.312500000046839
194,2.0208333333333335,44559,44559.375,-0.312500000046839,0.06249999995316102
195,2.03125,44789,44789.0625,0.06249999995316102,0.12499999995316102
196,2.0416666666666665,45019,45018.75,0.12499999995316102,-0.12500000004683898
197,2.0520833333333335,45248,45248.4375,-0.12500000004683898,0.312499999953161
198,2.071875,45685,45684.84375,0.312499999953161,0.15624999995316102
199,2.0822916666666664,45915,45914.53124999999,0.15624999995316102,-0.31250000005411493
200,2.0927083333333334,46144,46144.21875,-0.31250000005411493,-0.09375000005411493
201,2.103125,46374,46373.90625,-0.09375000005411493,-0.18750000005411493
202,2.1135416666666664,46603,46603.59374999999,-0.18750000005411493,0.4062499999386091
203,2.1239583333333334,46834,46833.28125,0.4062499999386091,-0.3125000000613909
204,2.125,46856,46856.25,-0.3125000000613909,-0.06250000006139089
205,2.1354166666666665,47086,47085.9375,-0.06250000006139089,-0.1250000000613909
206,2.1458333333333335,47315,47315.625,-0.1250000000613909,0.4999999999386091
207,2.15625,47546,47545.3125,0.4999999999386091,-0.1875000000613909
208,2.1666666666666665,47775,47775.0,-0.1875000000613909,-0.1875000000613909
209,2.1770833333333335,48004,48004.6875,-0.1875000000613909,0.4999999999386091
210,2.196875,48442,48441.09375,0.4999999999386091,-0.4062500000613909
211,2.2072916666666664,48670,48670.78124999999,-0.4062500000613909,0.37499999993133315
212,2.2177083333333334,48901,48900.46875,0.37499999993133315,-0.15625000006866685
213,2.228125,49130,49130.15625,-0.15625000006866685,-6.866684998385608e-11
214,2.2385416666666664,49360,49359.84374999999,-6.866684998385608e-11,-0.1562500000759428
215,2.2489583333333334,49589,49589.53125,-0.1562500000759428,0.3749999999240572
216,2.25,49613,49612.5,0.3749999999240572,-0.1250000000759428
217,2.2604166666666665,49842,49842.1875,-0.1250000000759428,0.06249999992405719
218,2.2708333333333335,50072,50071.875,0.06249999992405719,-0.06250000007594281
219,2.28125,50301,50301.5625,-0.06250000007594281,0.4999999999240572
220,2.2916666666666665,50532,50531.25,0.4999999999240572,-0.2500000000759428
221,2.3020833333333335,50761,50760.9375,-0.2500000000759428,-0.3125000000759428
222,2.321875,51197,51197.34375,-0.3125000000759428,0.031249999924057192
223,2.3322916666666664,51427,51427.03124999999,0.031249999924057192,0.062499999916781235
224,2.3427083333333334,51657,51656.71875,0.062499999916781235,-0.21875000008321877
225,2.353125,51886,51886.40625,-0.21875000008321877,0.18749999991678123
226,2.3635416666666664,52116,52116.09374999999,0.18749999991678123,0.2812499999095053
227,2.3739583333333334,52346,52345.78125,0.2812499999095053,0.06249999990950528
228,2.375,52369,52368.75,0.06249999990950528,-0.18750000009049472
229,2.3854166666666665,52598,52598.4375,-0.18750000009049472,0.24999999990950528
230,2.3958333333333335,52828,52828.125,0.24999999990950528,0.3749999999095053
231,2.40625,53058,53057.8125,0.3749999999095053,0.18749999990950528
232,2.4166666666666665,53288,53287.5,0.18749999990950528,-0.3125000000904947
233,2.4270833333333335,53517,53517.1875,-0.3125000000904947,-0.12500000009049472
234,2.446875,53953,53953.59375,-0.12500000009049472,0.4687499999095053
235,2.4572916666666664,54184,54183.28124999999,0.4687499999095053,-0.2500000000977707
236,2.4677083333333334,54413,54412.96875,-0.2500000000977707,-0.2812500000977707
237,2.478125,54642,54642.65625,-0.2812500000977707,0.3749999999022293
238,2.4885416666666664,54873,54872.34374999999,0.3749999999022293,-0.28125000010504664
239,2.4989583333333334,55102,55102.03125,-0.28125000010504664,-0.25000000010504664
240,2.5,55125,55125.0,-0.25000000010504664,-0.25000000010504664
241,2.5104166666666665,55354,55354.6875,-0.25000000010504664,0.43749999989495336
242,2.5208333333333335,55585,55584.375,0.43749999989495336,-0.18750000010504664
243,2.53125,55814,55814.0625,-0.18750000010504664,-0.12500000010504664
244,2.5416666666666665,56044,56043.75,-0.12500000010504664,-0.37500000010504664
245,2.5520833333333335,56273,56273.4375,-0.37500000010504664,0.06249999989495336
246,2.571875,56710,56709.84375,0.06249999989495336,-0.09375000010504664
247,2.5822916666666664,56939,56939.53124999999,-0.09375000010504664,0.4374999998876774
248,2.5927083333333334,57170,57169.21875,0.4374999998876774,-0.3437500001123226
249,2.603125,57399,57398.90625,-0.3437500001123226,-0.4375000001123226
250,2.6135416666666664,57628,57628.59374999999,-0.4375000001123226,0.15624999988040145
251,2.6239583333333334,57858,57858.28125,0.15624999988040145,0.43749999988040145
252,2.625,57882,57881.25,0.43749999988040145,-0.31250000011959855
253,2.6354166666666665,58111,58110.9375,-0.31250000011959855,-0.37500000011959855
254,2.6458333333333335,58340,58340.625,-0.37500000011959855,0.24999999988040145
255,2.65625,58571,58570.3125,0.24999999988040145,-0.43750000011959855
256,2.6666666666666665,58800,58800.0,-0.43750000011959855,-0.43750000011959855
257,2.6770833333333335,59029,59029.6875,-0.43750000011959855,0.24999999988040145
258,2.696875,59466,59466.09375,0.24999999988040145,0.34374999988040145
259,2.7072916666666664,59696,59695.78124999999,0.34374999988040145,0.12499999987312549
260,2.7177083333333334,59926,59925.46875,0.12499999987312549,-0.4062500001268745
261,2.728125,60155,60155.15625,-0.4062500001268745,-0.2500000001268745
262,2.7385416666666664,60385,60384.84374999999,-0.2500000001268745,-0.40625000013415047
263,2.7489583333333334,60614,60614.53125,-0.40625000013415047,0.12499999986584953
264,2.75,60638,60637.5,0.12499999986584953,-0.37500000013415047
265,2.7604166666666665,60867,60867.1875,-0.37500000013415047,-0.18750000013415047
266,2.7708333333333335,61097,61096.875,-0.18750000013415047,-0.31250000013415047
267,2.78125,61326,61326.5625,-0.31250000013415047,0.24999999986584953
268,2.7916666666666665,61556,61556.25,0.24999999986584953,0.49999999986584953
269,2.8020833333333335,61786,61785.9375,0.49999999986584953,0.43749999986584953
270,2.821875,62223,62222.34375,0.43749999986584953,-0.21875000013415047
271,2.8322916666666664,62452,62452.03124999999,-0.21875000013415047,-0.18750000014142643
272,2.8427083333333334,62682,62681.71875,-0.18750000014142643,-0.4687500001414264
273,2.853125,62911,62911.40625,-0.4687500001414264,-0.06250000014142643
274,2.8635416666666664,63141,63141.09374999999,-0.06250000014142643,0.031249999851297616
275,2.8739583333333334,63371,63370.78125,0.031249999851297616,-0.18750000014870238
276,2.875,63394,63393.75,-0.18750000014870238,-0.4375000001487024
277,2.8854166666666665,63623,63623.4375,-0.4375000001487024,-1.4870238373987377e-10
278,2.8958333333333335,63853,63853.125,-1.4870238373987377e-10,0.12499999985129762
279,2.90625,64083,64082.8125,0.12499999985129762,-0.06250000014870238
280,2.9166666666666665,64312,64312.5,-0.06250000014870238,0.4374999998512976
281,2.9270833333333335,64543,64542.1875,0.4374999998512976,-0.3750000001487024
282,2.946875,64978,64978.59375,-0.3750000001487024,0.21874999985129762
283,2.9572916666666664,65208,65208.28124999999,0.21874999985129762,0.49999999984402166
284,2.9677083333333334,65438,65437.96875,0.49999999984402166,0.46874999984402166
285,2.978125,65668,65667.65625,0.46874999984402166,0.12499999984402166
286,2.9885416666666664,65897,65897.34375,0.12499999984402166,0.46874999984402166
287,2.9989583333333334,66127,66127.03125,0.46874999984402166,0.49999999984402166
288,3.0,66150,66150.0,0.49999999984402166,0.49999999984402166
289,3.0104166666666665,66380,66379.6875,0.49999999984402166,0.18749999984402166
290,3.0208333333333335,66610,66609.375,0.18749999984402166,-0.43750000015597834
291,3.03125,66839,66839.0625,-0.43750000015597834,-0.37500000015597834
292,3.0416666666666665,67068,67068.75,-0.37500000015597834,0.37499999984402166
293,3.0520833333333335,67299,67298.4375,0.37499999984402166,-0.18750000015597834
294,3.071875,67735,67734.84375,-0.18750000015597834,-0.34375000015597834
295,3.0822916666666664,67964,67964.53125,-0.34375000015597834,0.18749999984402166
296,3.0927083333333334,68194,68194.21875,0.18749999984402166,0.40624999984402166
297,3.103125,68424,68423.90625,0.40624999984402166,0.31249999984402166
298,3.1135416666666664,68654,68653.59375,0.31249999984402166,-0.09375000015597834
299,3.1239583333333334,68883,68883.28125,-0.09375000015597834,0.18749999984402166
300,3.125,68906,68906.25,0.18749999984402166,0.43749999984402166
301,3.1354166666666665,69136,69135.9375,0.43749999984402166,0.37499999984402166
302,3.1458333333333335,69366,69365.625,0.37499999984402166,-1.559783413540572e-10
303,3.15625,69595,69595.3125,-1.559783413540572e-10,0.31249999984402166
304,3.1666666666666665,69825,69825.0,0.31249999984402166,0.31249999984402166
305,3.1770833333333335,70055,70054.6875,0.31249999984402166,-1.559783413540572e-10
306,3.196875,70491,70491.09375,-1.559783413540572e-10,0.09374999984402166
