idx,ppq,mixed_sample,exact_sample,role
10723,111.70729166666668,2463146,2463145.78125,secondary
10724,111.71770833333333,2463375,2463375.46875,secondary
10725,111.728125,2463605,2463605.15625,secondary
10726,111.73854166666668,2463835,2463834.84375,secondary
10727,111.74895833333333,2464065,2464064.53125,secondary
10728,111.75,2464088,2464087.5,primary
10729,111.76041666666667,2464318,2464317.1875,secondary
10730,111.77083333333333,2464547,2464546.875,secondary
10731,111.78125,2464777,2464776.5625,secondary
10732,111.79166666666667,2465007,2465006.25,secondary
10733,111.80208333333333,2465236,2465235.9375,secondary
10734,111.821875,2465672,2465672.34375,secondary
10735,111.83229166666668,2465902,2465902.03125,secondary
10736,111.84270833333333,2466132,2466131.71875,secondary
10737,111.853125,2466361,2466361.40625,secondary
10738,111.86354166666668,2466591,2466591.09375,secondary
10739,111.87395833333333,2466821,2466820.78125,secondary
10740,111.875,2466844,2466843.75,primary
10741,111.88541666666667,2467074,2467073.4375,secondary
10742,111.89583333333333,2467303,2467303.125,secondary
10743,111.90625,2467533,2467532.8125,secondary
10744,111.91666666666667,2467763,2467762.5,secondary
10745,111.92708333333333,2467992,2467992.1875,secondary
10746,111.946875,2468429,2468428.59375,secondary
10747,111.95729166666668,2468658,2468658.28125,secondary
10748,111.96770833333333,2468888,2468887.96875,secondary
10749,111.978125,2469118,2469117.65625,secondary
10750,111.98854166666668,2469347,2469347.34375,secondary
10751,111.99895833333333,2469577,2469577.03125,secondary
10752,112.0,2469600,2469600.0,primary
10753,112.01041666666667,2469830,2469829.6875,secondary
10754,112.02083333333333,2470059,2470059.375,secondary
10755,112.03125,2470289,2470289.0625,secondary
10756,112.04166666666667,2470519,2470518.75,secondary
10757,112.05208333333333,2470748,2470748.4375,secondary
10758,112.071875,2471185,2471184.84375,secondary
10759,112.08229166666668,2471415,2471414.53125,secondary
10760,112.09270833333333,2471644,2471644.21875,secondary
10761,112.103125,2471874,2471873.90625,secondary
10762,112.11354166666668,2472104,2472103.59375,secondary
10763,112.12395833333333,2472333,2472333.28125,secondary
10764,112.125,2472356,2472356.25,primary
10765,112.13541666666667,2472586,2472585.9375,secondary
10766,112.14583333333333,2472815,2472815.625,secondary
10767,112.15625,2473045,2473045.3125,secondary
10768,112.16666666666667,2473275,2473275.0,secondary
10769,112.17708333333333,2473504,2473504.6875,secondary
10770,112.196875,2473941,2473941.09375,secondary
10771,112.20729166666668,2474171,2474170.78125,secondary
10772,112.21770833333333,2474400,2474400.46875,secondary
10773,112.228125,2474630,2474630.15625,secondary
10774,112.23854166666668,2474860,2474859.84375,secondary
10775,112.24895833333333,2475090,2475089.53125,secondary
10776,112.25,2475112,2475112.5,primary
10777,112.26041666666667,2475342,2475342.1875,secondary
10778,112.27083333333333,2475571,2475571.875,secondary
10779,112.28125,2475801,2475801.5625,secondary
10780,112.29166666666667,2476031,2476031.25,secondary
10781,112.30208333333333,2476260,2476260.9375,secondary
10782,112.321875,2476697,2476697.34375,secondary
10783,112.33229166666668,2476927,2476927.03125,secondary
10784,112.34270833333333,2477157,2477156.71875,secondary
10785,112.353125,2477386,2477386.40625,secondary
10786,112.36354166666668,2477616,2477616.09375,secondary
10787,112.37395833333333,2477846,2477845.78125,secondary
10788,112.375,2477869,2477868.75,primary
10789,112.38541666666667,2478099,2478098.4375,secondary
10790,112.39583333333333,2478328,2478328.125,secondary
10791,112.40625,2478558,2478557.8125,secondary
10792,112.41666666666667,2478788,2478787.5,secondary
10793,112.42708333333333,2479017,2479017.1875,secondary
10794,112.446875,2479454,2479453.59375,secondary
10795,112.45729166666668,2479683,2479683.28125,secondary
10796,112.46770833333333,2479913,2479912.96875,secondary
10797,112.478125,2480143,2480142.65625,secondary
10798,112.48854166666668,2480372,2480372.34375,secondary
